Player,Span,matches,innings,not_out,runs,high_score,average,balls_faced,strike_rate,centuries,fifties,ducks,4s,6s,Unnamed: 15,format
Izatullah Dawlatzai (AFG/GER),2012-2019,14,3.0,2.0,26.0,24*,26.0,16.0,162.5,0.0,0.0,0.0,2,2,,T20
G Kansonkho (MWI),2019-2019,6,3.0,1.0,26.0,22,13.0,21.0,123.8,0.0,0.0,1.0,4,0,,T20
TJ Murtagh (IRE),2012-2016,14,5.0,3.0,26.0,12*,13.0,25.0,104.0,0.0,0.0,0.0,0,1,,T20
LN Oluoch (KENYA),2013-2019,10,6.0,3.0,26.0,7*,8.66,33.0,78.78,0.0,0.0,0.0,2,0,,T20
E Otieno (KENYA),2012-2019,18,8.0,3.0,26.0,8,5.2,48.0,54.16,0.0,0.0,1.0,0,1,,T20
TK Saha (Fin),2019-2019,4,4.0,3.0,26.0,18*,26.0,23.0,113.04,0.0,0.0,0.0,1,0,,T20
Washington Sundar (INDIA),2017-2019,18,5.0,3.0,26.0,14*,13.0,12.0,216.66,0.0,0.0,1.0,1,3,,T20
C Wright (Caym),2019-2019,6,5.0,2.0,26.0,16*,8.66,31.0,83.87,0.0,0.0,1.0,2,0,,T20
P Agnihotri (NOR),2019-2019,2,2.0,0.0,25.0,19,12.5,36.0,69.44,0.0,0.0,0.0,2,0,,T20
Asrar Ahmed (),2019-2019,3,1.0,0.0,25.0,25,25.0,27.0,92.59,0.0,0.0,0.0,2,0,,T20
RA Bhatti (CAN),2012-2012,4,4.0,1.0,25.0,11*,8.33,37.0,67.56,0.0,0.0,1.0,1,0,,T20
AM Ellis (NZ),2012-2013,5,5.0,2.0,25.0,16,8.33,21.0,119.04,0.0,0.0,0.0,1,1,,T20
CRD Fernando (SL),2006-2016,18,7.0,2.0,25.0,21,5.0,27.0,92.59,0.0,0.0,2.0,4,0,,T20
G Goudie (SCOT),2010-2013,9,6.0,2.0,25.0,9*,6.25,20.0,125.0,0.0,0.0,0.0,2,1,,T20
T Jamtsho (BHU),2019-2019,2,2.0,1.0,25.0,19,25.0,27.0,92.59,0.0,0.0,0.0,1,1,,T20
JH Kiani (PHI),2019-2019,4,3.0,1.0,25.0,13,12.5,36.0,69.44,0.0,0.0,0.0,2,0,,T20
RK Kleinveldt (SA),2008-2013,6,3.0,2.0,25.0,22,25.0,10.0,250.0,0.0,0.0,0.0,1,3,,T20
WP Masakadza (ZIM),2015-2019,12,6.0,3.0,25.0,6*,8.33,30.0,83.33,0.0,0.0,0.0,2,0,,T20
G Murali (CRC),2019-2019,3,3.0,0.0,25.0,14,8.33,44.0,56.81,0.0,0.0,0.0,1,0,,T20
PM Nevill (AUS),2016-2016,9,5.0,4.0,25.0,10*,25.0,11.0,227.27,0.0,0.0,0.0,1,2,,T20
SA Okpe (NGA),2019-2019,8,6.0,1.0,25.0,12,5.0,46.0,54.34,0.0,0.0,0.0,1,0,,T20
C Pengkumta (THAI),2019-2019,4,3.0,2.0,25.0,18,25.0,31.0,80.64,0.0,0.0,0.0,2,0,,T20
Raza-ur-Rehman (CAN),2012-2013,5,4.0,0.0,25.0,10,6.25,29.0,86.2,0.0,0.0,0.0,3,0,,T20
Shahbaz Badar (BAH),2019-2019,3,3.0,0.0,25.0,16,8.33,32.0,78.12,0.0,0.0,1.0,3,0,,T20
Shahriar Nafees (BDESH),2006-2006,1,1.0,0.0,25.0,25,25.0,17.0,147.05,0.0,0.0,0.0,3,1,,T20
Sidhant Singh (SGP),2019-2019,8,6.0,2.0,25.0,12,6.25,26.0,96.15,0.0,0.0,1.0,1,1,,T20
A Srivastav (Chile),2019-2019,4,4.0,0.0,25.0,21,6.25,37.0,67.56,0.0,0.0,2.0,2,0,,T20
Tahir Dar (BAH),2019-2019,4,2.0,0.0,25.0,15,12.5,25.0,100.0,0.0,0.0,0.0,1,2,,T20
Vinod Kumar (ESP),2019-2019,3,3.0,1.0,25.0,17,12.5,30.0,83.33,0.0,0.0,0.0,3,0,,T20
Adil Hanif (BAH),2019-2019,4,2.0,0.0,24.0,16,12.0,23.0,104.34,0.0,0.0,0.0,3,0,,T20
Azyan Farhath (Mald),2019-2019,2,2.0,1.0,24.0,22*,24.0,22.0,109.09,0.0,0.0,0.0,2,0,,T20
MO Bacarese (GIBR),2019-2019,3,2.0,0.0,24.0,13,12.0,37.0,64.86,0.0,0.0,0.0,0,1,,T20
OO Bascome (BMUDA),2008-2019,3,3.0,0.0,24.0,16,8.0,29.0,82.75,0.0,0.0,0.0,3,0,,T20
Bilal Tahir (KUW),2019-2019,4,4.0,0.0,24.0,13,6.0,21.0,114.28,0.0,0.0,1.0,1,1,,T20
JW Dernbach (ENG),2011-2014,34,7.0,2.0,24.0,12,4.8,21.0,114.28,0.0,0.0,1.0,3,0,,T20
Fareed Ahmad (AFG),2016-2019,14,1.0,1.0,24.0,24*,,15.0,160.0,0.0,0.0,0.0,4,0,,T20
JN Gillespie (AUS),2005-2005,1,1.0,0.0,24.0,24,24.0,18.0,133.33,0.0,0.0,0.0,4,0,,T20
B Ivanov (),2019-2019,3,3.0,1.0,24.0,14,12.0,55.0,43.63,0.0,0.0,0.0,1,0,,T20
Jagjit Singh (Peru),2019-2019,4,4.0,0.0,24.0,12,6.0,30.0,80.0,0.0,0.0,0.0,1,0,,T20
MJ McClenaghan (ICC/NZ),2012-2018,29,8.0,4.0,24.0,10,6.0,23.0,104.34,0.0,0.0,2.0,1,2,,T20
Rameez Raja (2) (PAK),2011-2011,2,2.0,0.0,24.0,23,12.0,29.0,82.75,0.0,0.0,0.0,2,0,,T20
B Regmi (NEPAL),2014-2019,18,11.0,4.0,24.0,11,3.42,56.0,42.85,0.0,0.0,1.0,2,0,,T20
CP Schofield (ENG),2007-2007,4,4.0,3.0,24.0,9*,24.0,20.0,120.0,0.0,0.0,0.0,2,0,,T20
KJ Abbott (SA),2013-2016,21,6.0,4.0,23.0,9*,11.5,20.0,115.0,0.0,0.0,0.0,2,0,,T20
AB Barath (WI),2010-2011,2,2.0,0.0,23.0,15,11.5,39.0,58.97,0.0,0.0,0.0,3,0,,T20
Bilawal Bhatti (PAK),2013-2015,9,4.0,2.0,23.0,13*,11.5,14.0,164.28,0.0,0.0,1.0,2,1,,T20
DL Brangman (BMUDA),2019-2019,5,4.0,2.0,23.0,23*,11.5,25.0,92.0,0.0,0.0,2.0,2,1,,T20
C Floyd (NL),2019-2019,2,2.0,1.0,23.0,21,23.0,23.0,100.0,0.0,0.0,0.0,2,1,,T20
Habib Ahmadzai (Aut),2019-2019,5,3.0,2.0,23.0,15*,23.0,29.0,79.31,0.0,0.0,0.0,2,1,,T20
Hardev Singh (Chile),2019-2019,3,3.0,0.0,23.0,17,7.66,48.0,47.91,0.0,0.0,0.0,1,0,,T20
Imran Anwar (BAH),2019-2019,4,2.0,1.0,23.0,16*,23.0,22.0,104.54,0.0,0.0,0.0,2,0,,T20
RK Inampud (Mex),2019-2019,3,3.0,2.0,23.0,17*,23.0,28.0,82.14,0.0,0.0,0.0,0,1,,T20
B Kumar (INDIA),2012-2019,43,9.0,5.0,23.0,9,5.75,29.0,79.31,0.0,0.0,1.0,0,0,,T20
S Lamichhane (ICC/NEPAL),2018-2019,18,8.0,4.0,23.0,9,5.75,29.0,79.31,0.0,0.0,1.0,1,0,,T20
N Master (Botsw),2019-2019,2,2.0,0.0,23.0,21,11.5,18.0,127.77,0.0,0.0,0.0,4,0,,T20
T Panyangara (ZIM),2013-2016,14,5.0,4.0,23.0,17*,23.0,17.0,135.29,0.0,0.0,0.0,1,2,,T20
VM Sachdev (PNM),2019-2019,2,2.0,1.0,23.0,12*,23.0,31.0,74.19,0.0,0.0,0.0,2,0,,T20
Shafiul Islam (BDESH),2010-2019,17,6.0,1.0,23.0,16,4.6,33.0,69.69,0.0,0.0,1.0,1,1,,T20
S Sohal (USA),2019-2019,3,2.0,0.0,23.0,18,11.5,29.0,79.31,0.0,0.0,0.0,1,1,,T20
A Zampa (AUS),2016-2019,27,6.0,4.0,23.0,9,11.5,26.0,88.46,0.0,0.0,0.0,2,0,,T20
Zulqarnain Haider (PAK),2007-2010,3,3.0,0.0,23.0,17,7.66,30.0,76.66,0.0,0.0,0.0,1,0,,T20
Abdur Rehman (PAK),2007-2013,8,5.0,3.0,22.0,7*,11.0,29.0,75.86,0.0,0.0,0.0,0,0,,T20
DNA Ankrah (Ghana),2019-2019,4,3.0,0.0,22.0,12,7.33,43.0,51.16,0.0,0.0,0.0,2,0,,T20
SE Aquilina (MALTA),2019-2019,4,4.0,0.0,22.0,14,5.5,30.0,73.33,0.0,0.0,0.0,2,0,,T20
Z Arinaitwe (UGA),2019-2019,3,3.0,0.0,22.0,15,7.33,26.0,84.61,0.0,0.0,0.0,3,1,,T20
TA Boult (NZ),2013-2019,27,8.0,3.0,22.0,8,4.4,32.0,68.75,0.0,0.0,1.0,1,0,,T20
PC de Silva (SL),2017-2017,2,2.0,0.0,22.0,21,11.0,22.0,100.0,0.0,0.0,0.0,1,0,,T20
AB Dinda (INDIA),2009-2012,9,2.0,1.0,22.0,19,22.0,24.0,91.66,0.0,0.0,0.0,1,0,,T20
PJ Ingram (NZ),2010-2010,3,3.0,1.0,22.0,20*,11.0,35.0,62.85,0.0,0.0,1.0,3,0,,T20
M Morkel (SA/World),2007-2017,44,8.0,5.0,22.0,8*,7.33,18.0,122.22,0.0,0.0,0.0,3,1,,T20
AK Muslar (Blz),2019-2019,3,3.0,0.0,22.0,13,7.33,27.0,81.48,0.0,0.0,1.0,1,2,,T20
DP Nannes (AUS/NL),2009-2010,17,5.0,3.0,22.0,12*,11.0,18.0,122.22,0.0,0.0,0.0,1,1,,T20
FL Reifer (WI),2009-2009,1,1.0,0.0,22.0,22,22.0,20.0,110.0,0.0,0.0,0.0,2,1,,T20
Umair Ali (UAE),2015-2015,3,3.0,2.0,22.0,13,22.0,18.0,122.22,0.0,0.0,0.0,2,1,,T20
Abdullah Akbarjan (Aut),2019-2019,5,1.0,0.0,21.0,21,21.0,17.0,123.52,0.0,0.0,0.0,3,0,,T20
Anas Khan (HKG),2014-2014,1,1.0,1.0,21.0,21*,,28.0,75.0,0.0,0.0,0.0,2,0,,T20
SE Bond (NZ),2005-2010,20,8.0,3.0,21.0,8*,4.2,21.0,100.0,0.0,0.0,2.0,2,0,,T20
BB Chari (ZIM),2019-2019,3,3.0,0.0,21.0,19,7.0,31.0,67.74,0.0,0.0,1.0,4,0,,T20
MR Gillespie (NZ),2006-2008,11,6.0,4.0,21.0,7,10.5,29.0,72.41,0.0,0.0,0.0,0,0,,T20
L Gregory (ENG),2019-2019,5,3.0,0.0,21.0,15,7.0,19.0,110.52,0.0,0.0,1.0,0,2,,T20
Imam-ul-Haq (PAK),2019-2019,2,2.0,0.0,21.0,14,10.5,25.0,84.0,0.0,0.0,0.0,2,0,,T20
Kamran Shazad (UAE),2014-2014,3,2.0,0.0,21.0,21,10.5,17.0,123.52,0.0,0.0,1.0,1,2,,T20
Karweng NG (PHI),2019-2019,4,3.0,0.0,21.0,14,7.0,30.0,70.0,0.0,0.0,0.0,0,1,,T20
LD Madushanka (SL),2019-2019,2,2.0,0.0,21.0,20,10.5,26.0,80.76,0.0,0.0,0.0,1,0,,T20
C Mahoney (Peru),2019-2019,3,1.0,0.0,21.0,21,21.0,27.0,77.77,0.0,0.0,0.0,1,0,,T20
AF Milne (NZ),2010-2018,21,8.0,8.0,21.0,10*,,23.0,91.3,0.0,0.0,0.0,1,0,,T20
Mohammad Sami (PAK),2010-2016,13,4.0,3.0,21.0,8,21.0,30.0,70.0,0.0,0.0,0.0,2,0,,T20
S Murari (CRC),2019-2019,3,3.0,1.0,21.0,16,10.5,20.0,105.0,0.0,0.0,0.0,2,0,,T20
Rony Talukdar (BDESH),2015-2015,1,1.0,0.0,21.0,21,21.0,22.0,95.45,0.0,0.0,0.0,0,1,,T20
Shoaib Akhtar (PAK),2006-2010,15,6.0,3.0,21.0,8*,7.0,16.0,131.25,0.0,0.0,1.0,2,1,,T20
SJS Smith (SCOT),2010-2012,5,4.0,1.0,21.0,9,7.0,40.0,52.5,0.0,0.0,1.0,1,0,,T20
SF Tiai (Samoa),2019-2019,4,3.0,0.0,21.0,11,7.0,22.0,95.45,0.0,0.0,1.0,2,0,,T20
E Ul Haq (NOR),2019-2019,5,5.0,0.0,21.0,10,4.2,36.0,58.33,0.0,0.0,0.0,2,0,,T20
Ainool Haqqiem (MAL),2019-2019,4,2.0,1.0,20.0,12,20.0,20.0,100.0,0.0,0.0,0.0,1,0,,T20
RL Bhudia (KENYA),2007-2007,3,3.0,1.0,20.0,11*,10.0,20.0,100.0,0.0,0.0,1.0,0,2,,T20
KK Flowers (Blz),2019-2019,3,3.0,1.0,20.0,17,10.0,33.0,60.6,0.0,0.0,1.0,3,0,,T20
Z Groenewald (NAM),2019-2019,10,4.0,1.0,20.0,13,6.66,35.0,57.14,0.0,0.0,0.0,0,0,,T20
DL Hemp (BMUDA),2008-2008,2,2.0,0.0,20.0,20,10.0,32.0,62.5,0.0,0.0,1.0,2,1,,T20
Kuldeep Yadav (INDIA),2017-2019,19,2.0,1.0,20.0,16,20.0,20.0,100.0,0.0,0.0,0.0,2,0,,T20
MJ North (AUS),2009-2009,1,1.0,0.0,20.0,20,20.0,21.0,95.23,0.0,0.0,0.0,1,0,,T20
N Pokana (PNG),2016-2019,19,7.0,5.0,20.0,8*,10.0,28.0,71.42,0.0,0.0,0.0,0,0,,T20
JRMVB Sanjaya (SL),2017-2017,8,5.0,2.0,20.0,6,6.66,18.0,111.11,0.0,0.0,0.0,3,0,,T20
JOP Scamans (Fin),2019-2019,2,2.0,1.0,20.0,12*,20.0,19.0,105.26,0.0,0.0,0.0,1,0,,T20
S Sreesanth (INDIA),2006-2008,10,3.0,2.0,20.0,19*,20.0,14.0,142.85,0.0,0.0,1.0,4,0,,T20
A Uniyal (Chile),2019-2019,3,3.0,1.0,20.0,16*,10.0,24.0,83.33,0.0,0.0,0.0,2,0,,T20
C Waiswa (UGA),2019-2019,4,2.0,1.0,20.0,14*,20.0,14.0,142.85,0.0,0.0,0.0,1,1,,T20
Aziz Mohammad (Belg),2019-2019,3,3.0,1.0,19.0,19,9.5,25.0,76.0,0.0,0.0,1.0,0,2,,T20
Bilal Ahmed (Serb),2019-2019,1,1.0,0.0,19.0,19,19.0,28.0,67.85,0.0,0.0,0.0,1,1,,T20
CJ Dala (SA),2018-2019,9,4.0,3.0,19.0,12*,19.0,28.0,67.85,0.0,0.0,0.0,1,0,,T20
Fahad Tariq (UAE),2016-2016,6,5.0,1.0,19.0,16,4.75,24.0,79.16,0.0,0.0,2.0,1,1,,T20
Ibrahim Hassan (Mald),2019-2019,11,7.0,2.0,19.0,12*,3.8,41.0,46.34,0.0,0.0,3.0,0,0,,T20
Imran Haider (ROM),2019-2019,2,2.0,0.0,19.0,15,9.5,26.0,73.07,0.0,0.0,0.0,2,1,,T20
Imran Tahir (SA/World),2013-2019,38,4.0,3.0,19.0,9*,19.0,18.0,105.55,0.0,0.0,0.0,1,1,,T20
Irfan Mir (Chile),2019-2019,4,3.0,2.0,19.0,18*,19.0,7.0,271.42,0.0,0.0,1.0,0,2,,T20
Jaspreet Singh (ITA),2019-2019,5,2.0,0.0,19.0,11,9.5,23.0,82.6,0.0,0.0,0.0,1,0,,T20
Junaid Sheikh (NOR),2019-2019,5,3.0,0.0,19.0,9,6.33,20.0,95.0,0.0,0.0,0.0,1,1,,T20
HGJM Kulatunga (SL),2008-2008,2,2.0,0.0,19.0,11,9.5,38.0,50.0,0.0,0.0,0.0,0,0,,T20
CJ McKay (AUS),2010-2013,6,4.0,2.0,19.0,7,9.5,22.0,86.36,0.0,0.0,1.0,1,1,,T20
Mohammad Ahsan (KUW),2019-2019,6,3.0,0.0,19.0,8,6.33,20.0,95.0,0.0,0.0,0.0,0,1,,T20
Muktar Ali (BDESH),2016-2016,1,1.0,1.0,19.0,19*,,15.0,126.66,0.0,0.0,0.0,1,1,,T20
SN Netravalkar (USA),2019-2019,8,2.0,1.0,19.0,12,19.0,15.0,126.66,0.0,0.0,0.0,1,1,,T20
HM Nicholls (NZ),2016-2019,5,4.0,0.0,19.0,7,4.75,28.0,67.85,0.0,0.0,0.0,2,0,,T20
AE Paraam (SGP),2019-2019,3,2.0,1.0,19.0,10,19.0,10.0,190.0,0.0,0.0,0.0,2,1,,T20
AM Phangiso (SA),2012-2018,16,3.0,0.0,19.0,13,6.33,29.0,65.51,0.0,0.0,0.0,1,0,,T20
RLB Rambukwella (SL),2013-2016,2,1.0,0.0,19.0,19,19.0,16.0,118.75,0.0,0.0,0.0,1,1,,T20
SV Samson (INDIA),2015-2015,1,1.0,0.0,19.0,19,19.0,24.0,79.16,0.0,0.0,0.0,1,0,,T20
L Shafeeg (Mald),2019-2019,3,1.0,1.0,19.0,19*,,11.0,172.72,0.0,0.0,0.0,2,1,,T20
Sufyan Mehmood (OMAN),2015-2019,3,2.0,1.0,19.0,13*,19.0,41.0,46.34,0.0,0.0,0.0,2,0,,T20
KOK Williams (WI),2016-2019,24,7.0,4.0,19.0,13*,6.33,17.0,111.76,0.0,0.0,1.0,1,1,,T20
N Yordanov (),2019-2019,2,2.0,1.0,19.0,19*,19.0,11.0,172.72,0.0,0.0,1.0,0,2,,T20
JD Baker (Samoa),2019-2019,4,3.0,3.0,18.0,11*,,14.0,128.57,0.0,0.0,0.0,3,0,,T20
V Baskaran (SGP),2019-2019,12,5.0,3.0,18.0,14*,9.0,23.0,78.26,0.0,0.0,1.0,0,0,,T20
Bilal Khan (OMAN),2015-2019,32,10.0,7.0,18.0,6*,6.0,28.0,64.28,0.0,0.0,2.0,1,0,,T20
LA Collado (GIBR),2019-2019,4,3.0,2.0,18.0,8,18.0,34.0,52.94,0.0,0.0,0.0,0,0,,T20
LHD Dilhara (SL),2008-2008,2,1.0,1.0,18.0,18*,,9.0,200.0,0.0,0.0,0.0,0,1,,T20
XJ Doherty (AUS),2012-2013,11,4.0,3.0,18.0,9*,18.0,17.0,105.88,0.0,0.0,0.0,1,0,,T20
BE Hendricks (SA),2014-2019,11,3.0,1.0,18.0,12*,9.0,21.0,85.71,0.0,0.0,0.0,0,1,,T20
Khurram Chohan (CAN),2010-2010,4,4.0,2.0,18.0,8,9.0,14.0,128.57,0.0,0.0,0.0,1,1,,T20
JB Little (IRE),2016-2019,11,6.0,2.0,18.0,7,4.5,16.0,112.5,0.0,0.0,2.0,3,0,,T20
AK Markram (SA),2019-2019,2,2.0,0.0,18.0,15,9.0,17.0,105.88,0.0,0.0,0.0,1,1,,T20
SW Masakadza (ZIM),2010-2013,7,5.0,1.0,18.0,9,4.5,24.0,75.0,0.0,0.0,1.0,1,0,,T20
Nauman Anwar (PAK),2015-2015,1,1.0,0.0,18.0,18,18.0,10.0,180.0,0.0,0.0,0.0,2,1,,T20
Naved-ul-Hasan (PAK),2006-2010,4,2.0,1.0,18.0,17*,18.0,16.0,112.5,0.0,0.0,0.0,0,2,,T20
Nazmul Islam (BDESH),2018-2018,13,4.0,3.0,18.0,7,18.0,17.0,105.88,0.0,0.0,0.0,2,0,,T20
D Nikolov (),2019-2019,3,2.0,0.0,18.0,13,9.0,33.0,54.54,0.0,0.0,0.0,2,0,,T20
Raza Hasan (PAK),2012-2014,10,4.0,4.0,18.0,13*,,25.0,72.0,0.0,0.0,0.0,2,0,,T20
PADLR Sandakan (SL),2017-2019,14,4.0,2.0,18.0,10,9.0,24.0,75.0,0.0,0.0,0.0,2,0,,T20
S Snater (NL),2018-2019,13,6.0,1.0,18.0,10,3.6,16.0,112.5,0.0,0.0,2.0,0,1,,T20
S Thuraisingam (CAN),2008-2008,3,2.0,1.0,18.0,15,18.0,24.0,75.0,0.0,0.0,0.0,1,0,,T20
JW Wilson (NZ),2005-2005,1,1.0,0.0,18.0,18,18.0,14.0,128.57,0.0,0.0,0.0,2,0,,T20
HN Ya France (NAM),2019-2019,6,3.0,0.0,18.0,13,6.0,20.0,90.0,0.0,0.0,1.0,1,1,,T20
TL Best (WI),2013-2014,6,1.0,1.0,17.0,17*,,9.0,188.88,0.0,0.0,0.0,0,2,,T20
D Bishoo (WI),2011-2019,7,4.0,2.0,17.0,8,8.5,29.0,58.62,0.0,0.0,1.0,2,0,,T20
TA Blundell (NZ),2017-2018,3,2.0,1.0,17.0,14,17.0,21.0,80.95,0.0,0.0,0.0,0,0,,T20
LA Dawson (ENG),2016-2018,6,2.0,1.0,17.0,10,17.0,8.0,212.5,0.0,0.0,0.0,2,1,,T20
RR Emrit (WI),2018-2018,4,3.0,0.0,17.0,11,5.66,27.0,62.96,0.0,0.0,0.0,0,1,,T20
D Gim (NGA),2019-2019,6,4.0,2.0,17.0,9*,8.5,32.0,53.12,0.0,0.0,1.0,0,0,,T20
S Kizilkaya (TKY),2019-2019,4,4.0,0.0,17.0,8,4.25,28.0,60.71,0.0,0.0,1.0,3,0,,T20
L Louwrens (NAM),2019-2019,1,1.0,1.0,17.0,17*,,15.0,113.33,0.0,0.0,0.0,1,1,,T20
JH Mensah (Ghana),2019-2019,2,2.0,0.0,17.0,16,8.5,10.0,170.0,0.0,0.0,0.0,1,1,,T20
LN Onyango (KENYA),2007-2010,5,4.0,2.0,17.0,5,8.5,21.0,80.95,0.0,0.0,0.0,0,0,,T20
TK Patel (USA),2019-2019,7,3.0,3.0,17.0,14*,,18.0,94.44,0.0,0.0,0.0,1,0,,T20
K Pierre (WI),2018-2019,8,4.0,2.0,17.0,9*,8.5,23.0,73.91,0.0,0.0,0.0,2,0,,T20
Rubel Hossain (BDESH),2009-2018,27,14.0,9.0,17.0,8*,3.4,30.0,56.66,0.0,0.0,4.0,1,0,,T20
GR Russ (PHI),2019-2019,3,2.0,1.0,17.0,10,17.0,29.0,58.62,0.0,0.0,0.0,0,0,,T20
SE Rutherford (WI),2018-2019,3,3.0,0.0,17.0,9,5.66,23.0,73.91,0.0,0.0,0.0,1,0,,T20
Shafraz Jaleel (Mald),2019-2019,4,3.0,0.0,17.0,17,5.66,14.0,121.42,0.0,0.0,2.0,1,1,,T20
JR Singleton (),2019-2019,3,3.0,0.0,17.0,7,5.66,26.0,65.38,0.0,0.0,0.0,3,0,,T20
T Singye (BHU),2019-2019,2,2.0,0.0,17.0,11,8.5,25.0,68.0,0.0,0.0,0.0,2,0,,T20
OR Willis (Caym),2019-2019,3,3.0,0.0,17.0,15,5.66,32.0,53.12,0.0,0.0,0.0,0,1,,T20
Zain ul Tashnam (CRC),2019-2019,3,2.0,1.0,17.0,11,17.0,26.0,65.38,0.0,0.0,0.0,1,0,,T20
IKO Aboagye (Ghana),2019-2019,4,4.0,0.0,16.0,7,4.0,37.0,43.24,0.0,0.0,1.0,0,0,,T20
A Ahmadhel (),2019-2019,3,2.0,0.0,16.0,15,8.0,16.0,100.0,0.0,0.0,0.0,2,0,,T20
P Arrighi (Arg),2019-2019,5,4.0,0.0,16.0,11,4.0,46.0,34.78,0.0,0.0,1.0,0,0,,T20
J Barker (LUX),2019-2019,4,2.0,0.0,16.0,16,8.0,16.0,100.0,0.0,0.0,1.0,3,0,,T20
KK Bishnoi (),2019-2019,3,2.0,1.0,16.0,14,16.0,18.0,88.88,0.0,0.0,0.0,1,0,,T20
M Chauhan (Fin),2019-2019,2,2.0,0.0,16.0,15,8.0,8.0,200.0,0.0,0.0,0.0,0,2,,T20
U Dorji (BHU),2019-2019,2,2.0,0.0,16.0,8,8.0,17.0,94.11,0.0,0.0,0.0,2,0,,T20
CJ Ferguson (AUS),2009-2009,3,3.0,0.0,16.0,8,5.33,19.0,84.21,0.0,0.0,1.0,1,0,,T20
LF Goncalves (),2019-2019,3,2.0,0.0,16.0,13,8.0,21.0,76.19,0.0,0.0,0.0,1,0,,T20
EH Hutchinson (USA),2019-2019,2,1.0,0.0,16.0,16,16.0,8.0,200.0,0.0,0.0,0.0,3,0,,T20
LS Livingstone (ENG),2017-2017,2,2.0,0.0,16.0,16,8.0,19.0,84.21,0.0,0.0,1.0,1,0,,T20
Mehrab Hossain jnr (BDESH),2008-2009,2,2.0,1.0,16.0,10,16.0,25.0,64.0,0.0,0.0,0.0,1,0,,T20
K Modise (Botsw),2019-2019,3,3.0,0.0,16.0,10,5.33,16.0,100.0,0.0,0.0,1.0,2,1,,T20
Najmul Hossain Shanto (BDESH),2019-2019,2,2.0,0.0,16.0,11,8.0,17.0,94.11,0.0,0.0,0.0,1,0,,T20
F Nsubuga (UGA),2019-2019,3,3.0,1.0,16.0,9,8.0,15.0,106.66,0.0,0.0,0.0,0,2,,T20
JB Reva (PNG),2015-2019,9,4.0,0.0,16.0,7,4.0,22.0,72.72,0.0,0.0,0.0,1,1,,T20
BJ Rohrer (AUS),2013-2013,1,1.0,0.0,16.0,16,16.0,14.0,114.28,0.0,0.0,0.0,0,1,,T20
EHSN Silva (UAE),2014-2014,2,2.0,1.0,16.0,13*,16.0,22.0,72.72,0.0,0.0,0.0,1,0,,T20
DW Steyn (SA),2007-2019,44,10.0,5.0,16.0,5,3.2,23.0,69.56,0.0,0.0,1.0,1,0,,T20
Aamer Yamin (PAK),2015-2018,2,1.0,1.0,15.0,15*,,6.0,250.0,0.0,0.0,0.0,1,1,,T20
AB Agarkar (INDIA),2006-2007,4,2.0,0.0,15.0,14,7.5,11.0,136.36,0.0,0.0,0.0,2,0,,T20
Anowarul Islam (THAI),2019-2019,4,4.0,0.0,15.0,9,3.75,20.0,75.0,0.0,0.0,1.0,1,1,,T20
NW Bracken (AUS),2006-2009,19,6.0,3.0,15.0,4*,5.0,22.0,68.18,0.0,0.0,1.0,1,0,,T20
TL Chatara (ZIM),2010-2019,21,3.0,0.0,15.0,8,5.0,18.0,83.33,0.0,0.0,1.0,1,0,,T20
K Christie (HKG),2019-2019,11,4.0,2.0,15.0,11*,7.5,20.0,75.0,0.0,0.0,0.0,0,0,,T20
GL Cloete (SA),2018-2019,2,2.0,0.0,15.0,13,7.5,15.0,100.0,0.0,0.0,0.0,2,0,,T20
SS Cottrell (WI),2014-2019,22,7.0,4.0,15.0,4*,5.0,22.0,68.18,0.0,0.0,1.0,2,0,,T20
N Dutta (CAN),2019-2019,11,3.0,2.0,15.0,12,15.0,13.0,115.38,0.0,0.0,0.0,1,0,,T20
KR Ebanks (Caym),2019-2019,5,4.0,0.0,15.0,8,3.75,27.0,55.55,0.0,0.0,1.0,1,0,,T20
J Hill (PHI),2019-2019,4,3.0,0.0,15.0,6,5.0,20.0,75.0,0.0,0.0,0.0,3,0,,T20
E Katchay (CAN),2008-2008,4,3.0,2.0,15.0,8*,15.0,25.0,60.0,0.0,0.0,1.0,0,0,,T20
AC Kose (TKY),2019-2019,4,4.0,0.0,15.0,15,3.75,33.0,45.45,0.0,0.0,3.0,3,0,,T20
Nasrulla Rana (HKG),2019-2019,8,4.0,2.0,15.0,7,7.5,24.0,62.5,0.0,0.0,1.0,0,0,,T20
RN Patel (KENYA),2019-2019,2,2.0,1.0,15.0,15*,15.0,25.0,60.0,0.0,0.0,1.0,1,0,,T20
LA Pomersbach (AUS),2007-2007,1,1.0,0.0,15.0,15,15.0,7.0,214.28,0.0,0.0,0.0,1,1,,T20
RW Price (ZIM),2008-2012,16,9.0,4.0,15.0,7*,3.0,28.0,53.57,0.0,0.0,1.0,1,0,,T20
Shabir Noori (AFG),2012-2012,1,1.0,0.0,15.0,15,15.0,18.0,83.33,0.0,0.0,0.0,1,0,,T20
J Smits (NL),2008-2009,6,2.0,1.0,15.0,11*,15.0,27.0,55.55,0.0,0.0,0.0,0,0,,T20
AO Suji (KENYA),2007-2010,8,5.0,2.0,15.0,7,5.0,29.0,51.72,0.0,0.0,0.0,0,0,,T20
